"","Group1","Group2","Group1Participant","Group2Participant","Condition","RR.HR","DET.HR","NRLINE.HR","maxL.HR","L.HR","ENTR.HR","rENTR.HR","LAM.HR","TT.HR","RR.RE","DET.RE","NRLINE.RE","maxL.RE","L.RE","ENTR.RE","rENTR.RE","LAM.RE","TT.RE"
"55",4,22,2,1,1,1.56391348538223,96.19973204602,5287,95,8.55608095328163,2.57596454711761,0.579825963911607,98.9600833634604,11.9747812660834,2.35756959842326,51.5263536019855,15418,12,2.55843818912959,1.01532754212183,0.423424472969968,56.3999738749918,2.59523952635692
"58",4,26,1,2,1,12.468042932011,99.0563064740699,31040,291,16.7087628865979,3.14631475208064,0.574078094924392,99.3941720574276,19.4001491146319,7.67418514189528,94.1308022514856,67791,69,4.78084111460223,2.14491485697061,0.554069615844509,97.8847304432685,6.66435308773803
"59",4,26,2,1,1,5.41172229069787,98.1070056631421,13894,163,16.0469987044768,3.07449722635932,0.604312336076657,99.2858368645466,27.8976261127596,3.82614874509311,84.3384091994734,38320,34,3.77810542797495,1.75392077053313,0.520869225363004,94.3382926914518,6.10069692974195
"62",8,10,1,2,1,4.32359899243662,98.9387755102041,8619,181,14.9056735120084,3.13309897715728,0.639689966419213,99.2552945706584,17.1935699039488,2.69605009500255,65.9458655902297,18383,17,3.13708317467225,1.46121936497613,0.527023482875495,75.0620361582179,3.32224921550764
"63",8,10,2,1,1,2.09756982770533,93.8615150168265,9133,97,6.4742143873864,2.23812831520843,0.502459320379192,98.1522636357864,9.88205210164616,8.75210453086496,95.7524754916638,53238,59,5.10584544873962,2.25819810125759,0.586522475204483,98.3944089642564,9.5323004470532
"66",8,15,1,2,1,2.7575804494079,98.2310608804849,7409,142,10.9802942367391,2.81637294974916,0.576794429592048,98.6126204448308,11.9731710892831,4.56104750374353,79.4061186140515,33228,36,3.53542193330926,1.65261839703806,0.485893116920616,92.9871165727109,4.95629773742614
"67",8,15,2,1,1,1.52819329500863,95.648858288304,6824,94,6.43303048065651,2.24666895723711,0.511251553530507,98.6186160013945,9.85456128891792,5.69546710025937,85.6743063148892,42574,40,3.71759759477615,1.75762985928709,0.521970729044661,89.5370741266009,4.28032812338267
"70",8,17,1,2,1,1.18993135011442,95.6218133451563,5203,72,6.63232750336344,2.38753081207392,0.565831603801817,96.5113056971847,7.49333046471601,2.61834167723398,70.7597018581377,17338,39,3.49884646441343,1.65607025083707,0.508293794094491,79.1778936440727,3.91690709751875
"71",8,17,2,1,1,3.10724813537415,96.1914767180271,12200,152,7.43008196721311,2.31626463357338,0.499762691509205,99.109682074791,13.6127386678327,5.57932691720358,88.3507316031771,37620,49,4.29027113237639,1.98613851441724,0.558634057782012,91.9362166837274,5.50926685255043
"74",8,21,1,2,1,3.61177958016842,98.342960552773,7908,138,13.6063480020233,3.05311548298359,0.642275703255984,98.8520454794721,17.2690403959764,2.45184278805201,67.3978376625806,17094,18,3.16175266175266,1.48367119284308,0.523670833315698,76.9899365265429,3.18078310149408
